1 N N
2 H H
3 CT CA
4 CT CB
5 S SG
6 CT C4
7 CT C5
8 OH O1
9 HO H11
10 CT C6
11 OS O2
12 CA C7
13 CA C8
14 CA C9
15 CA C10
16 CT C11
17 CT C12
18 HC H16
19 HC H17
20 HC H18
21 CT C13
22 HC H19
23 HC H20
24 HC H21
25 CA C14
26 CA C15
27 CA C16
28 CA C17
29 OS O3
30 CT C18
31 CT C19
32 OH O4
33 HO H26
34 CT C20
35 OH O5
36 HO H29
37 H1 H27
38 H1 H28
39 H1 H2
40 H1 H24
41 H1 H25
42 CA C21
43 CA C22
44 HA H31
45 HA H30
46 HA H23
47 HA H22
48 CA C23
49 CA C24
50 HA H33
51 HA H32
52 HA H15
53 HA H14
54 H1 H12
55 H1 H13
56 H1 H1
57 H1 H9
58 H1 H10
59 H1 HB1
60 H1 HB2
61 H1 HA
62 C C
63 O O
